,video_id,published_at,year_published,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,thumpnail,video_link,episode_number,title_new,total_like_dislike,like_ratio
51,4Dba-Lp-J58,11/29/2019 6:30,2019,291542,12106,147,0,2077,The Official Podcast #156: Webcams Activated,https://i.ytimg.com/vi/4Dba-Lp-J58/mqdefault.jpg,https://www.youtube.com/watch?v=4Dba-Lp-J58,156, Webcams Activated,12253,99
52,EE7bX6q9yT8,11/22/2019 5:30,2019,140008,3572,76,0,334,The Official Podcast #155: House of Horrors,https://i.ytimg.com/vi/EE7bX6q9yT8/mqdefault.jpg,https://www.youtube.com/watch?v=EE7bX6q9yT8,155, House of Horrors,3648,98
53,QQPMl-tF43I,11/15/2019 5:00,2019,215247,8986,140,0,1340,The Official Podcast #154 With John McAfee,https://i.ytimg.com/vi/QQPMl-tF43I/mqdefault.jpg,https://www.youtube.com/watch?v=QQPMl-tF43I,154,With John McAfee,9126,98
54,DGgdKTxTqOY,11/8/2019 6:00,2019,126305,3371,114,0,518,The Official Podcast #153: The Shit Market,https://i.ytimg.com/vi/DGgdKTxTqOY/mqdefault.jpg,https://www.youtube.com/watch?v=DGgdKTxTqOY,153, The Shit Market,3485,97
55,LRZqIlTCHIQ,11/1/2019 4:00,2019,150043,3630,123,0,516,The Official Podcast #152: How Buff is Too Buff,https://i.ytimg.com/vi/LRZqIlTCHIQ/mqdefault.jpg,https://www.youtube.com/watch?v=LRZqIlTCHIQ,152, How Buff is Too Buff,3753,97
56,hB5bCsUGi7E,10/25/2019 5:00,2019,178287,5140,119,0,791,The Official Podcast #151: Banned In China,https://i.ytimg.com/vi/hB5bCsUGi7E/mqdefault.jpg,https://www.youtube.com/watch?v=hB5bCsUGi7E,151, Banned In China,5259,98
57,X8P2_2HUcCU,10/18/2019 4:00,2019,157502,4238,81,0,485,The Official Podcast #150: Mums vs Fortnite,https://i.ytimg.com/vi/X8P2_2HUcCU/mqdefault.jpg,https://www.youtube.com/watch?v=X8P2_2HUcCU,150, Mums vs Fortnite,4319,98
58,YuS7Sd-v6yc,10/11/2019 4:00,2019,235615,6269,152,0,715,The Official Podcast #149: We Live In A Society,https://i.ytimg.com/vi/YuS7Sd-v6yc/mqdefault.jpg,https://www.youtube.com/watch?v=YuS7Sd-v6yc,149, We Live In A Society,6421,98
59,cpyuuxA12bI,10/4/2019 4:00,2019,172239,4686,111,0,705,The Official Podcast #148: The Boys Make A Porn Game,https://i.ytimg.com/vi/cpyuuxA12bI/mqdefault.jpg,https://www.youtube.com/watch?v=cpyuuxA12bI,148, The Boys Make A Porn Game,4797,98
60,GKMwxMi7upg,9/27/2019 4:00,2019,205012,5379,169,0,883,The Official Podcast #147: The Most Furry Place On Earth,https://i.ytimg.com/vi/GKMwxMi7upg/mqdefault.jpg,https://www.youtube.com/watch?v=GKMwxMi7upg,147, The Most Furry Place On Earth,5548,97
61,uTQUsxDVjsc,9/20/2019 4:00,2019,117605,2720,96,0,286,The Official Podcast #146: Mr. Cool Ice Sells Sex Toys,https://i.ytimg.com/vi/uTQUsxDVjsc/mqdefault.jpg,https://www.youtube.com/watch?v=uTQUsxDVjsc,146, Mr. Cool Ice Sells Sex Toys,2816,97
62,XxfZgube18o,9/13/2019 4:30,2019,140819,4041,117,0,887,The Official Podcast #145: Our KPop Bias,https://i.ytimg.com/vi/XxfZgube18o/mqdefault.jpg,https://www.youtube.com/watch?v=XxfZgube18o,145, Our KPop Bias,4158,97
63,YuUHdWr6aNU,9/6/2019 4:00,2019,209131,8778,79,0,800,The Official Podcast #144 With Noel Miller,https://i.ytimg.com/vi/YuUHdWr6aNU/mqdefault.jpg,https://www.youtube.com/watch?v=YuUHdWr6aNU,144,With Noel Miller,8857,99
64,vKZnR1NFYTA,8/30/2019 4:00,2019,157490,4172,236,0,1243,"The Official Podcast #143: Three Girls, One Day",https://i.ytimg.com/vi/vKZnR1NFYTA/mqdefault.jpg,https://www.youtube.com/watch?v=vKZnR1NFYTA,143," Three Girls, One Day",4408,95
65,oKZ_c-JT2go,8/23/2019 4:00,2019,161267,4742,181,0,1217,The Official Podcast #142: The Official Ten Hottest Men,https://i.ytimg.com/vi/oKZ_c-JT2go/mqdefault.jpg,https://www.youtube.com/watch?v=oKZ_c-JT2go,142, The Official Ten Hottest Men,4923,96
66,Tu3q1e8Wz3c,8/16/2019 4:00,2019,148874,4261,139,0,748,The Official Podcast #141: Chad Circlejerk,https://i.ytimg.com/vi/Tu3q1e8Wz3c/mqdefault.jpg,https://www.youtube.com/watch?v=Tu3q1e8Wz3c,141, Chad Circlejerk,4400,97
67,jGckaXobREk,8/9/2019 4:00,2019,265619,6179,192,0,1034,The Official Podcast #140: Point of Personal Privilege,https://i.ytimg.com/vi/jGckaXobREk/mqdefault.jpg,https://www.youtube.com/watch?v=jGckaXobREk,140, Point of Personal Privilege,6371,97
68,cbimGgSdElM,8/2/2019 4:00,2019,247986,7509,185,0,1283,The Official Podcast #139: What's Happened To Our Hentai?,https://i.ytimg.com/vi/cbimGgSdElM/mqdefault.jpg,https://www.youtube.com/watch?v=cbimGgSdElM,139, What's Happened To Our Hentai?,7694,98
69,4wL_JquGyDU,7/26/2019 4:00,2019,142968,3948,85,0,471,The Official Podcast #138: Hard Turbo on Netflix,https://i.ytimg.com/vi/4wL_JquGyDU/mqdefault.jpg,https://www.youtube.com/watch?v=4wL_JquGyDU,138, Hard Turbo on Netflix,4033,98
70,xKeOc0TzygQ,7/19/2019 4:00,2019,338847,11209,254,0,1707,The Official Podcast #137: Charlie's Legs,https://i.ytimg.com/vi/xKeOc0TzygQ/mqdefault.jpg,https://www.youtube.com/watch?v=xKeOc0TzygQ,137, Charlie's Legs,11463,98
71,hkEwS6QXB-c,7/12/2019 4:00,2019,174312,4793,128,0,632,The Official Podcast #136: Google Lobbering,https://i.ytimg.com/vi/hkEwS6QXB-c/mqdefault.jpg,https://www.youtube.com/watch?v=hkEwS6QXB-c,136, Google Lobbering,4921,97
72,BHf6vSach5g,7/5/2019 4:26,2019,161158,4596,84,0,466,The Official Podcast #135: The Contest,https://i.ytimg.com/vi/BHf6vSach5g/mqdefault.jpg,https://www.youtube.com/watch?v=BHf6vSach5g,135, The Contest,4680,98
73,GrSmZ2qfF-Q,6/28/2019 4:29,2019,243680,7345,198,0,1451,The Official Podcast #134: Yiffcord,https://i.ytimg.com/vi/GrSmZ2qfF-Q/mqdefault.jpg,https://www.youtube.com/watch?v=GrSmZ2qfF-Q,134, Yiffcord,7543,97
74,ulWqvMODckQ,6/21/2019 4:00,2019,128493,3981,85,0,407,The Official Podcast #133 With Jericho,https://i.ytimg.com/vi/ulWqvMODckQ/mqdefault.jpg,https://www.youtube.com/watch?v=ulWqvMODckQ,133,With Jericho,4066,98
75,zs6xuszQwPo,6/14/2019 4:00,2019,257786,7037,237,0,959,The Official Podcast #132: E3 Made Us Hate Games,https://i.ytimg.com/vi/zs6xuszQwPo/mqdefault.jpg,https://www.youtube.com/watch?v=zs6xuszQwPo,132, E3 Made Us Hate Games,7274,97
76,UemhyqurqeI,6/7/2019 4:00,2019,160151,4560,106,0,513,The Official Podcast #131: We Bathe In Milk,https://i.ytimg.com/vi/UemhyqurqeI/mqdefault.jpg,https://www.youtube.com/watch?v=UemhyqurqeI,131, We Bathe In Milk,4666,98
77,dlUEYvVtxqY,5/31/2019 4:00,2019,260551,6235,162,0,812,The Official Podcast #130: Gamers Are Oppressed,https://i.ytimg.com/vi/dlUEYvVtxqY/mqdefault.jpg,https://www.youtube.com/watch?v=dlUEYvVtxqY,130, Gamers Are Oppressed,6397,97
78,ivkbA4H3Pvk,5/24/2019 4:30,2019,152033,3961,167,0,796,The Official Podcast #129: Batwoman Wins The Iron Throne,https://i.ytimg.com/vi/ivkbA4H3Pvk/mqdefault.jpg,https://www.youtube.com/watch?v=ivkbA4H3Pvk,129, Batwoman Wins The Iron Throne,4128,96
